Genes,Value1,Value2
Bmpr1a,2.72878261,-0.085553677
Stk16,2.717664742,0.500241671
Fbxl5,2.716277965,-1.283284934
Dnmt1,2.698073371,3.966228272
1810037C20Rik,2.6972243,0.792923395
Bcap29,2.69339064,0.774430416
Arf3,2.689677109,-0.108369383
Hat1,2.684736378,3.403769791
Asah1,2.676832106,-3.300544123
Maea,2.673920532,1.808286137
Eprs,2.672165679,8.035409317
Rpl37a,2.638750312,4.699882596
Dsg2,2.635335744,13.15738458
Nup50,2.619475451,1.204807129
Pawr,2.616906583,6.268994717
Ppp3r1,2.603739348,0.049536823
Dnajc13,2.601883919,-1.677187111
Cry1,2.588645158,-0.509881947
Minpp1,2.583626655,0.813261622
Cxadr,2.579348435,2.360300676
Vav1,2.573889087,1.511877874
Chd8,2.573349441,1.25717606
Ube3c,2.569991725,1.926688947
Aamp,2.560061485,2.465683596
Plxna2,2.543118168,-3.644491254
Mcm7,2.537007358,2.74505407
Il18r1,2.535132504,-4.728034374
Snx1,2.529271378,-4.710656293
Aldh9a1,2.526604941,-1.62060785
Ak2,2.52446585,8.133961958
Prps1,2.522780283,0.668721551
Pla2g7,2.51821967,0.353060573
Iapp,2.517628243,0.416351185
Lsm4,2.516879475,3.495666745
Dab2,2.511357697,-4.956768157
Pafah2,2.509628618,0.111597423
Mrps31,2.508182522,-0.163006494
Lmnb2,2.504423147,4.624528669
Tff2,2.50414115,0.638841685
Rala,2.502967953,-0.243910975
Ifngr2,2.50121738,0.780039594
Phc2,2.500987978,-0.524195442
1600012H06Rik,2.498640204,0.332891088
Psmc5,2.494805929,0.563682783
Igf1,2.491119,-4.603448706
Ripk1,2.489207609,-0.95736233
Dhcr7,2.487352433,1.02607055
Basp1,2.485081249,4.770501297
Pik3r2,2.48219084,4.227269965
Pigf,2.474907078,4.71456944
Dbi,2.467477882,-0.623745937
Yy1,2.464329551,4.536073106
Lpl,2.463492082,-5.698827652
Tcf25,2.458083538,0.687448619
Rrp12,2.451381516,-0.923289998
Dlk1,2.450298525,0.920593982
3110056O03Rik,2.448302215,0.581623994
Pitpnm1,2.447034442,1.262271525
Ina,2.446434787,0.753109726
Adam9,2.444246703,1.614992484
Selenbp1,2.438657784,-3.290771674
Rnpep,2.433190582,3.741377396
Xcl1,2.431680798,-0.476894227
Il10rb,2.430163558,-1.948053867
Prim2,2.429444722,2.717039433
Atp9a,2.402822035,5.072948134
Ndrg1,2.398658224,0.694630732
Eif4ebp1,2.396043232,1.843001426
Pmpcb,2.388615146,2.800020362
Cd81,2.373303597,-7.631639636
Cyp11a1,2.37298692,0.152325138
Ppib,2.368453014,1.522360279
Cdc37,2.364694484,-3.980045061
Tardbp,2.357370335,0.580176432
Mtx2,2.354753681,5.986509951
Mutyh,2.348618803,-1.106183213
Ptpn18,2.348592887,-1.872560074
Ccne2,2.343717306,6.44704432
Cd70,2.343363627,0.022274145
Slc25a17,2.341960817,0.750161485
Echs1,2.34177024,2.055469278
Gnaq,2.33837991,-3.845827681
Serpinb6a,2.33441959,-3.959057403
Vps45,2.332340015,1.614803147
Tep1,2.332109194,-0.344873831
Nono,2.329627513,4.292514108
Gaa,2.311720858,-1.368968351
Sin3b,2.311257064,-1.020925248
Atp5o,2.30238584,0.011115384
Wbp2,2.301453536,-2.882911563
Ywhae,2.296110846,-0.657203632
Tec,2.286051797,-0.471422765
Col15a1,2.282633644,0.132577958
Cdc2a,2.277848335,7.598017042
Slc2a2,2.274153937,0.430601456
Gng12,2.26164304,-0.287496396
Cx3cl1,2.261078341,-2.136954606
Lcp2,2.252915942,-1.976777129
Sox3,2.248547885,-0.638032944
Pno1,2.241492126,4.642415487
Bmp2,2.237418798,-3.3734974
Gatm,2.235423479,1.52903891
AI314180,2.22644498,-1.052763674
Pmm2,2.223978741,6.99601682
Cnga1,2.210438525,2.304700172
Ibtk,2.209686923,2.097081103
Tpr,2.208574362,0.85114271
Tcp1,2.20845073,-0.411011852
Herpud1,2.205847868,0.601611998
Supt5h,2.204593363,0.753832277
Sema4d,2.203757551,0.738931613
Ap2m1,2.203030778,-0.4079755
P2rx4,2.202558221,0.519517973
Clcn7,2.200007972,0.14253468
Cfdp1,2.192526232,-0.810820446
Tmem109,2.191611063,-4.128157842
Sec22b,2.190871596,3.146607834
Ranbp1,2.190347995,7.51907609
G3bp2,2.190206822,0.835197431
Hira,2.166930326,0.191270477
F8a,2.164716891,3.911507446
Cdk9,2.160602803,-1.494779272
S100g,2.160460621,-0.461009097
Mvk,2.16020468,0.160227984
Llgl2,2.157850202,5.018905888
Stk3,2.152074126,1.286085049
Flg,2.151075138,-0.295703469
Psma3,2.147569507,5.008221272
Ciz1,2.142567113,0.546502894
Rps23,2.130543161,0.817322072
Ext1,2.128096045,-1.66137832
45358,2.12306275,0.392435169
Ncoa6,2.106548384,4.210573203
Dpysl4,2.103473687,0.274051147
Scye1,2.09035082,1.653267832
Ndufb5,2.082081557,2.286387585
Smyd5,2.078739061,0.073976239
Cyc1,2.07760067,5.896709949
Mll1,2.072639879,-2.281655157
Sdc3,2.069442825,0.064100682
Kcna3,2.065560889,-0.279836749
Ctnnb1,2.059796964,-1.090302958
Dhrsx,2.051811306,1.846983635
Mcrs1,2.042331765,0.234950559
Tnfrsf11b,2.037210898,0.140236492
Nufip1,2.031769645,4.224881241
Ethe1,2.030795659,-0.158268149
Lrmp,2.029052044,-0.880590917
Ndel1,2.028515081,-3.048542724
Sdhc,2.026707228,4.805743843
Myh3,2.023135633,-0.861752385
Uqcrc1,2.020986244,1.710319894
Nedd4l,2.01584211,-3.954427111
Dpm2,2.011260028,2.755189389
Ctnna1,1.995253952,0.650776135
Inadl,1.993864171,1.110894162
Tsfm,1.993799211,1.796062806
Cox7b,1.991320955,4.177853821
Ap3s2,1.986140309,0.130483418
Mog,1.986105854,-2.218908059
Ear4,1.984358065,-0.560294804
Cfi,1.982941186,-0.044636341
Doc2b,1.981819499,-1.201345828
Eif5b,1.980717006,0.835309559
Irs1,1.971609186,4.725323425
Tlr6,1.969925716,1.362877682
Polr2k,1.965570904,1.036964127
Elf1,1.962308578,0.00825239
Pscd2,1.959499294,-0.289271082
Gm2a,1.959430691,3.410029561
Rbm14,1.956659061,-0.470553212
Hc,1.955764443,0.689266879
Rab14,1.951168543,-4.571749847
Rcc1,1.943247467,10.46344506
M6pr,1.941998617,-2.472372191
Urod,1.938739993,-1.569130295
Creb3l1,1.934319063,1.880044985
Cyp4v3,1.929823304,-0.866604469
Gpr44,1.923928604,0.129503237
Kcnn1,1.922216142,0.015848898
Eif5a,1.922138409,4.034036593
Itga5,1.921285434,-3.909588191
Vps26a,1.910937897,-1.405582889
Psmd11,1.901291391,3.887480057
Ubxd6,1.901204731,-0.286856811
Agtr2,1.899702431,-1.007592136
Btc,1.899472994,0.227108052
Taf1c,1.896175736,-0.572923655
Rbbp7,1.895604226,-0.008314913
Zrsr2,1.886251754,-0.948479905
Atp6v0e,1.884417471,-0.623320865
Slc25a44,1.882600467,0.207970632
Met,1.879796484,4.4681798
Csnk2a2,1.875279722,1.070969377
Acvr1b,1.874280589,9.25259408
Lta4h,1.873879131,-3.776069999
Rab7,1.873632669,0.219133673
Cox6a2,1.865845,0.059817194
Atp7b,1.859685216,1.222224753
Tpmt,1.85688451,0.072613779
Prkar2a,1.850947968,1.248250693
Krt13,1.849384129,5.868118044
Mthfr,1.847138627,0.118071449
Ccdc6,1.846684669,4.6850177
Stx5a,1.844413982,-0.03003045
Aco2,1.840361415,0.685759084
Mrpl23,1.833971682,1.73559841
Eif3s12,1.830478311,-0.325938324
Snrpa,1.827837653,4.314312731
Mbl2,1.826271311,1.062426963
Slc22a1,1.826047519,0.515732427
0610007P14Rik,1.825309909,-0.11978932
Stat6,1.814158522,-0.108453259
Rs1,1.813516443,-0.641313854
Aqr,1.811376144,-0.915115304
Pold2,1.811213171,2.203216432
Casp1,1.806548082,-9.461502112
Pip5k1c,1.806519081,-4.754588243
Scp2,1.804814612,0.793250418
Kcnj6,1.804615484,0.303557014
Dynlt1,1.802181415,0.44447817
Uqcrq,1.799140107,3.324845513
Cct8,1.797472376,2.385998363
Agxt,1.79705022,0.355934766
Nars,1.793225118,0.447988371
Supv3l1,1.791513888,0.482763131
Sgta,1.791111591,-0.060271692
Krt20,1.790308707,2.730461373
Rabl4,1.783825211,3.243168173
Cul2,1.780487802,0.130512613
Cltc,1.777076676,1.777465705
Akap8l,1.770271681,-0.160933525
Gp9,1.756709877,0.120435827
Nup93,1.751812069,0.74776497
Ganab,1.728884446,0.598418604
Crat,1.720253894,1.661103858
Pex11a,1.716177038,1.489084959
Tnnc2,1.710714138,4.646804738
Tpp2,1.710262085,-0.088717381
Dnaja2,1.703436944,0.295593352
Cul4b,1.701684366,0.675735421
Agr2,1.699765817,15.71369984
Caml,1.694980348,0.066918012
Aplp1,1.69488296,1.272323131
Pafah1b2,1.689461388,-0.345314588
Rab4a,1.67479334,-1.205567428
Cnga3,1.673463991,2.430842976
Fancg,1.673314402,0.231848438
Ewsr1,1.672463966,-3.490916131
Cdc20,1.671416013,1.417324107
Atp1b3,1.670913324,-2.628632674
Stk25,1.670908292,-0.77159156
Igbp1,1.669424008,6.087213811
Clns1a,1.662233487,5.512562149
Lgals4,1.660250864,4.394292293
F2rl1,1.659138375,4.011461807
Tnk2,1.656737234,2.665934501
Rad9,1.650008672,1.24727312
Lman1,1.647219901,0.685611835
Inppl1,1.644370646,4.14841462
Ramp1,1.64351391,4.79400409
Alcam,1.639261668,-0.647535504
Abcb8,1.636174101,-4.637085632
2010111I01Rik,1.632526327,-1.398147108
Bard1,1.631732459,4.000318693
Smpd1,1.622964141,2.369484175
Pts,1.620723503,5.471046141
Slc2a1,1.619370209,-0.419500024
Banf1,1.613419155,2.700997731
Cbx1,1.609824986,5.22743843
Gpx1,1.605312185,-0.279955986
Psma5,1.605181158,4.089622849
Anxa1,1.605061811,-2.975512399
Sphk2,1.604570278,0.665350391
Dmc1,1.59663846,-0.201813512
Kcnd2,1.589069528,0.2709812
Krt35,1.58797715,-0.820220967
Rgs16,1.580264064,-0.153236091
Bet1,1.579757211,7.104771614
Tfam,1.579285109,4.577078654
Cpt1a,1.575093638,0.027623064
Gdpd5,1.571793089,-0.34787881
Rce1,1.570988083,1.728220596
Qdpr,1.567469739,-1.297537358
Ndufs6,1.566007261,5.771337867
Slc35d1,1.563659612,3.224481229
Fkbp5,1.563646009,-0.038157102
Epo,1.562682028,-0.289551595
Strap,1.557544476,2.565453455
Mpp1,1.557406762,-2.19226041
Atp4b,1.553945757,-0.070657907
Pdia4,1.548279725,8.896741922
Fabp2,1.539452444,0.228778283
Dbf4,1.538777403,1.289044463
Pdcd1,1.53313051,0.757714475
Gpc1,1.531838847,0.628551722
Cd164,1.527930994,0.251228791
Slc22a2,1.526696252,0.487643094
Sox10,1.525390519,-0.244400381
Npm3,1.519863925,1.904321662
Ldb1,1.512578058,0.287150773
Cxcl10,1.511582464,2.779669658
Ndufaf1,1.511434088,-0.490146154
Etfdh,1.508881564,0.906071124
Ndufa6,1.506926047,-0.756743252
Zc3h11a,1.50258831,2.368858783
Ctr9,1.498912376,0.922060887
Grpel1,1.497079138,0.862170534
Chd1l,1.494927456,1.177468912
Phb,1.488223084,0.680066023
Aif1,1.487166556,-3.908588964
Cdk2ap1,1.485567414,2.811840526
Ehhadh,1.483869351,0.139754983
Xpo7,1.481828198,-0.776555114
Copb2,1.472569337,9.616810066
Fosl1,1.472509714,0.023683896
Clk2,1.46638738,1.59535186
Hsf2,1.466056195,0.936427315
Atp8a1,1.465684077,-1.42408481
2810405J04Rik,1.464211014,2.531742906
Cul3,1.462621642,-0.077354689
Smpd2,1.457372096,0.888014799
Ube2d2,1.451925639,1.505179065
Hoxa9,1.45112078,1.775405129
C2ta,1.443714703,0.45924573
Slc16a7,1.442703727,0.093121176
Il17a,1.44032547,-0.410315477
Ctsg,1.439348495,-2.239014742
Rnaseh2a,1.433565238,-0.309427463
Ptn,1.428704793,-0.633596482
Enpep,1.428372163,-0.81541514
Jmjd1b,1.426000681,0.249278044
Sptlc1,1.424117154,-0.594533726
Fbxo9,1.420515248,-2.706408683
Ppic,1.418981331,3.653435685
Sla,1.418872341,-0.741877872
Tcfap2c,1.413322579,3.969106806
Pcaf,1.411203558,0.005937423
Hpca,1.407864836,-0.913876679
Kns2,1.399177808,-3.594693928
Cox7c,1.398525833,1.020542667
Decr1,1.3870312,-0.579012443
Cenpc1,1.387022872,0.315505566
Mcm6,1.381483664,7.569484577
Mina,1.377355006,2.261851975
Prrg2,1.377026381,1.890863916
Fcgrt,1.376464611,-7.474809323
Ppp1r3c,1.374935623,-1.2294582
Slc35a2,1.374678696,7.116908839
Ide,1.36931694,3.257936827
4933426M11Rik,1.367549019,-2.308654482
Pah,1.366753249,0.896181636
Cdh16,1.358820851,0.60192671
Sfrs3,1.358525129,-0.701523457
Ppp1r7,1.357143585,-1.036340883
Ret,1.357140179,0.030209135
Kdelr3,1.357110969,3.840361556
Egr2,1.352091924,-1.316588648
Mmp8,1.339562178,0.663503642
Pygb,1.339489586,6.060976973
Myl1,1.338840851,2.534817464
Eif2b2,1.336858295,1.466167533
Krt34,1.335260007,0.275951308
Cct2,1.335220511,4.456226599
Adar,1.333946358,0.493434903
Rad51l3,1.329036106,0.747774118
Hmha1,1.326063177,-3.736719514
Slc12a5,1.325363613,3.81893058
Chek1,1.321687747,0.099803727
Socs3,1.321465381,-1.370303629
Cdh1,1.316766612,9.62406386
Bmi1,1.315758688,0.659713657
Dhodh,1.315273525,0.671344987
Ifnar1,1.312360932,-0.14728401
Lrpprc,1.30994598,0.794510012
Ankhd1,1.307266244,-1.112123285
Xrcc6,1.302284865,-0.707395257
Rab21,1.300725729,0.345297414
Nt5e,1.292483956,4.632399601
Tm9sf2,1.291902633,0.440752214
Polr3d,1.290937882,0.055340971
Smg6,1.290858731,-2.543472625
Tia1,1.287680845,5.486998121
Tomm70a,1.281938289,1.888563806
Spred2,1.281181839,-0.22010551
Myo7a,1.277480839,4.865388615
Ppt1,1.27451175,-2.047036518
Btrc,1.273654782,-1.378089272
45550,1.272324224,0.498770331
Ndufa2,1.272032432,0.450622805
Dlg4,1.268335057,0.620850532
Gdf11,1.256507157,-0.97161588
Hmgcs1,1.253851342,-0.001157374
Cars,1.248255786,0.385161009
Yif1a,1.245591709,4.24355632
Clcn4-2,1.240052958,0.676729123
Tbl2,1.237310456,5.229847259
Foxa1,1.237206766,11.19296019
Itga2,1.237205784,3.126283982
Efnb3,1.234167322,1.564857193
Psme4,1.233500813,4.725641457
Prim1,1.233176838,2.488954007
Cpne3,1.231706339,0.007176635
Camta2,1.227224161,-1.244411683
Morf4l2,1.22631927,6.127591529
Ddt,1.223819256,-2.010977409
Mllt7,1.222184674,-0.063905798
Mdn1,1.221130792,0.097630065
Htatip2,1.220812576,8.134410219
Sap30,1.217149949,0.272983654
Pcsk7,1.216751714,-1.620318446
Pou2f2,1.216414961,-0.843452728
Ddx1,1.212255329,1.645978102
Il3ra,1.211291033,-2.023846822
Nol7,1.211106655,0.344848596
Myl2,1.209054392,0.908439697
Rplp1,1.208431275,4.824781918
Gdf15,1.207048823,5.817988439
Dsp,1.202786627,20.33598018
Arpc3,1.201476683,0.322257895
Mmp10,1.200511324,0.322953016
Ruvbl2,1.199415745,1.625197671
Lancl1,1.196212635,-1.249216964
Ndufc1,1.193192223,1.381516113
Nr2c1,1.192061149,-0.453119953
Cit,1.189447488,7.764418525
Impa2,1.186264961,3.535041656
Cops6,1.18353781,0.801224911
Gfi1,1.180894762,-1.398760314
Tmed1,1.179619789,1.554873258
Atp1b2,1.179197235,-1.100968198
Tsnax,1.174700164,1.644887279
Scn1b,1.174497391,0.367062145
Pex7,1.17198454,2.704208099
Cmklr1,1.169809739,-2.333378851
Fntb,1.169042272,0.474261
Hcrt,1.161957917,-0.001547487
Rraga,1.161513312,-3.13144215
Arf6,1.160766269,2.585580539
Rgs11,1.159665334,-1.076646593
Rnaseh2b,1.159095853,-0.475316482
Zbtb7b,1.157505218,-0.063473031
Cd2bp2,1.1526479,0.636102707
Aurkb,1.151353692,2.78479721
Dlg7,1.145596868,5.05217186
Lsm3,1.135945391,-0.119612753
Polr2f,1.134811507,0.949089792
Agt,1.131601851,0.785844014
Pnliprp2,1.131144941,1.167443973
Tnfrsf8,1.130719545,-0.636758729
Aifm1,1.130129676,3.946841665
Top1,1.129017308,5.066112121
Ciao1,1.128467388,1.536724462
Psmb2,1.127639787,3.859596234
Flt3,1.126799236,1.32523936
Rab4b,1.123485351,2.309839444
Ephb3,1.120290425,5.183131179
Mms19l,1.120244734,0.250899867
Cldn11,1.119909414,-0.421170332
Socs5,1.114502847,1.511054323
Klf10,1.11435142,-2.382462066
Prpf31,1.113958641,-0.938957945
Copb1,1.11178162,2.770848325
Rreb1,1.110477989,-0.023722751
Ucp3,1.104156775,0.420693833
Ddx19a,1.089894966,0.632539217
Syp,1.089680688,3.071929226
Cul7,1.086971432,3.480540805
Rabgap1l,1.081882112,-0.609345432
Phr1,1.081187879,-1.873433977
H2afv,1.080950905,10.60789994
Sf3b3,1.080007727,0.019788365
Plaa,1.077100969,0.216839567
Timm8a1,1.071968072,1.032845998
Gabrr1,1.068201324,0.434675629
Kif3b,1.065457719,0.523569486
Tnni2,1.064711218,-2.245941695
Glud1,1.06179748,-1.209114227
Procr,1.060273105,-0.031252888
Acr,1.058904811,1.240166145
Chst3,1.057036826,-0.502880507
Mmp17,1.053611893,0.780724171
Cyp51,1.048205884,-0.1218502
Hcn2,1.046502256,0.197542237
Psmd1,1.045754249,4.500376288
Gpr143,1.040385632,0.425369859
Cirbp,1.034841517,-2.72899437
Col9a3,1.033318406,1.522670355
Rps4x,1.029990666,2.23037607
Drd4,1.027587424,2.143725034
Psmd7,1.025723984,5.457750443
Dna2l,1.02491793,1.637643054
Pex5,1.022171576,0.348414422
Frk,1.017009136,1.024828347
Slc6a12,1.017005523,0.120193346
Dolpp1,1.016459956,-0.227428962
H6pd,1.014541194,-1.834777475
Zzz3,1.013056654,2.687303884
Cfp,1.005459886,-3.146516979
Myef2,1.005243021,1.35046426
Tgfbr1,1.004043452,-0.438078423
Slc33a1,1.003105221,2.62173536
Mapk7,1.002199233,-1.016909865
Usp19,1.000078983,0.742070958
Topbp1,0.998344171,2.680994116
Cdk7,0.997952158,5.069912345
Cacna1e,0.989654297,-0.427764677
Fgf12,0.987332338,-0.859897066
Stra13,0.984746249,4.492328135
2400003C14Rik,0.984022247,-0.801194212
Edn2,0.980756133,0.729067022
Cyp1a1,0.979945087,0.336584919
Chrna6,0.979755326,0.679078424
Zkscan1,0.978231881,3.127285034
Cic,0.976641463,-0.015577499
Cib2,0.971152598,-1.012637085
Crisp2,0.971033587,0.375901311
Cacna1a,0.967883597,1.766676622
Ccl17,0.961402022,-0.59278746
Lamp2,0.96063885,1.020450964
Capza1,0.96037324,-0.001378307
Foxd1,0.959427887,5.887323156
Hadh,0.955099321,5.104222309
Snrpd1,0.952176459,-0.357154531
Tyms,0.951289932,0.362023119
Alk,0.950517257,0.547497736
Mc1r,0.949398021,-0.040095975
Pth,0.949130751,-1.183090372
Gna12,0.945483116,1.03822671
Has2,0.944892327,-2.110712719
Rad51,0.941797001,0.056252676
Nup188,0.940625323,-2.739870637
Tnpo2,0.940352357,-0.787884621
Rbbp4,0.939639241,5.68028112
Mbtps1,0.937775978,0.259097063
1500019G21Rik,0.92909313,1.681203216
Ckap5,0.928767186,5.518322486
Pepd,0.92827203,-0.345967935
Cyp2j6,0.927623649,1.756120634
Selpl,0.925260781,-5.119634856
Ptov1,0.924538185,1.692814273
Ppia,0.92390373,0.305478635
Tradd,0.923718599,6.494435216
Stard7,0.92001601,-1.616198887
Rpa2,0.919958945,-0.30797173
Actr1a,0.919807721,-0.085520145
Ndufb6,0.919287608,0.342230003
Tial1,0.917332456,3.925115221
Xpot,0.913802333,13.83631693
Slc9a1,0.911587558,-0.26251807
Hras1,0.909203233,0.137334687
Pnpla2,0.905736044,-0.861657136
Eps8,0.904612338,5.581948317
Anpep,0.904110577,-0.401038203
Traf2,0.901247716,0.702510355
Cbx2,0.900707031,3.119608417
Mnat1,0.899988966,4.891067384
Psma7,0.891717421,2.371452933
Dok1,0.89012668,-1.408647111
Stac,0.88859467,-4.392058677
C1qbp,0.88816913,4.919255152
Ghitm,0.882346571,1.365811695
Brp44,0.879777077,4.146328015
Ipo8,0.879441988,-0.075891645
Msi1,0.875557883,0.369750388
Gtf3c1,0.874500022,3.054037963
Fgd1,0.868218623,0.6829573
Mmp13,0.867107804,2.780494912
Accn1,0.867049407,3.537244495
Tbl3,0.864959187,-0.475772788
Irak1,0.864221377,11.14810512
Cxcl2,0.863760947,-0.345533517
Tubgcp3,0.861743385,1.201520402
Prpsap1,0.859617331,-0.112047411
Them2,0.858842429,7.002861093
Scn8a,0.856633646,0.1389911
Rnaseh1,0.855464485,2.167537323
Enc1,0.855448106,5.168287071
2310008H09Rik,0.852960051,-1.721815225
Smad3,0.851128468,1.165167707
Ptch1,0.850309913,-0.987958879
Sgpl1,0.850023577,-0.095991683
Kcnj2,0.846888077,-0.199005835
Gdf5,0.846873894,-0.105228294
Txnl2,0.842956925,0.718738674
Thop1,0.840785133,0.475195295
Tspan31,0.839878821,-1.450901831
Cat,0.839172965,-5.488307369
Wipi2,0.837044677,3.611486336
Myd116,0.831754216,-3.226835941
Schip1,0.828272741,-2.591738844
Ucp2,0.826661508,0.061759167
Phox2b,0.825395659,0.575589094
Sart1,0.819509358,2.135438822
Prg2,0.816335113,4.446084135
Net1,0.814150195,8.07728918
Cd180,0.812267682,0.015894584
Sec61b,0.810349117,-0.077554497
Ppp2r4,0.809715416,-0.783118707
Sh3pxd2a,0.809201847,-1.03456875
Fgb,0.807164253,0.858591823
Cd160,0.804846163,-0.382611941
Cma1,0.799811543,0.174244725
Ikbke,0.796973074,0.899232154
Chaf1b,0.796455404,0.784168628
Ywhah,0.794697505,-2.974225527
Sorl1,0.791304219,4.625880723
Pias2,0.791088192,-1.348655925
Ahrr,0.788612309,7.72856311
Galnt1,0.788043115,6.751530617
Leprot,0.787326658,-3.233565153
Llgl1,0.785494606,3.503368304
Pxmp3,0.78483882,4.019094648
Cyp1b1,0.784655285,1.290574247
Ddx5,0.784254943,-0.40490634
Slc9a8,0.78124107,-1.484952284
Hars,0.780458404,-0.17062264
Matk,0.775839382,-3.374161622
Dyrk1a,0.775657713,14.74048633
Trmt1,0.770027588,-0.146518927
Dynlt3,0.769749348,-0.577418451
Hmga2,0.762820384,0.89685476
Mizf,0.761184638,0.610146921
Atxn2,0.759691326,-1.613286198
Tnfrsf17,0.759634518,1.534449455
D19Bwg1357e,0.757862978,0.094156799
C730007P19Rik,0.755446787,0.293098037
Ovgp1,0.75523917,1.451671656
Pdhb,0.752587359,0.619960715
Utp18,0.752585799,6.313495422
Dct,0.752563878,-1.684150795
Ly86,0.752334047,-5.355085106
Smr1,0.750163703,-0.466657927
Sf3b1,0.748466174,1.136411219
Myl6b,0.746987595,4.094223267
D14Ertd436e,0.742542512,-0.161772517
Rnase4,0.74241607,-1.004594451
Slc35b1,0.740832823,1.271766942
Kif23,0.740576334,0.648570503
BC033915,0.739822116,-2.12590766
Kcna6,0.733502552,-2.489448955
Gpd1,0.72836367,-4.212632806
Lmo1,0.727340952,-0.879564788
Nckap1l,0.727322754,-1.438924465
Ngdn,0.72198735,0.929346595
Uck2,0.71809859,4.540975971
Gtf2b,0.717463131,-1.142319237
Uqcrh,0.717312259,4.826267879
Kcnma1,0.715730047,0.771808523
Hsd17b2,0.714385864,-0.037953572
Alad,0.711500131,0.082488531
Cd40lg,0.706186642,0.323103203
Phkb,0.703464648,1.003054505
Egr1,0.701264918,-2.00269446
Osmr,0.697638889,4.137517047
Mkln1,0.697459358,0.129524052
Rpia,0.694117753,0.739715815
Gck,0.690468532,-0.082904595
P2rx7,0.689429762,-0.054044977
Clps,0.687184863,0.740688665
Ptp4a2,0.685530462,-1.373881903
F2r,0.684591436,0.060011719
Hnrpu,0.684470146,4.104775859
Reg1,0.68339937,1.199427884
Stam,0.683359952,-0.220899674
Ier2,0.682802073,-1.939575665
Nap1l4,0.682154438,2.026732377
Rlbp1,0.681420729,1.399880661
Trp53bp1,0.677827947,1.261365302
Adam17,0.675312481,1.648278798
Rasgrf1,0.672425258,-4.40911479
Slc29a2,0.671428004,2.721798015
St8sia1,0.669138275,0.269548846
Serpinb3a,0.664663159,1.288218756
Uchl1,0.662699553,3.49172113
Snx3,0.662310535,-4.922105815
Hes1,0.662049468,1.27124919
Mmp14,0.656379001,1.662337807
Sned1,0.654839907,-1.419707342
Casp2,0.653780553,0.748893687
Krt32,0.653515549,0.418455144
Fzd1,0.652799376,-2.475849947
Ddit4,0.651299226,0.684998702
Gabra2,0.644814693,0.877421559
Pacs2,0.644692648,-0.428996096
Psd,0.6409321,0.481978299
Psma6,0.639270664,4.019145328
Mylpf,0.639068039,0.303154249
Smc2,0.63842391,0.517280973
Gtf2f1,0.637821867,2.753899987
Sh3gl1,0.634464011,0.03564515
Cops5,0.633686276,1.634545672
Grik5,0.633681161,-0.806749195
D2Ertd435e,0.631838767,0.515821601
Pygm,0.631800198,0.716177387
Ralbp1,0.629575531,0.317977245
Arl2,0.628515306,-0.240717156
Pls3,0.622888373,0.09532994
Slc4a8,0.62103871,-0.117608003
Sybl1,0.620450152,0.308877268
Txnl1,0.618184432,2.01270294
Abcf3,0.613760569,0.037858745
Rapsn,0.613633508,-0.905895011
Il5ra,0.61218854,-1.433207381
Pde1b,0.606893348,0.339851585
Calm3,0.605706574,-1.282470843
Cd72,0.604798542,0.052860839
2610507B11Rik,0.599080755,0.863925949
Kif22,0.598069657,1.015742061
Hgfac,0.597469791,0.910612192
Ccdc93,0.592718302,0.125958562
Gpd1l,0.592588369,-2.499528794
Itgae,0.59193902,0.758008457
Ptpn22,0.589357141,-0.015808901
Hrk,0.588065011,0.215891458
Fabp7,0.585539239,0.531481267
Gnrh1,0.583895966,-0.675474375
Car5a,0.581790639,-0.334645321
Psmc6,0.578752618,6.696288735
Dhx16,0.578099924,1.677230717
St3gal6,0.57129369,-1.406251936
Cyfip1,0.567914609,-2.696090946
Mybl1,0.562951863,-0.581351599
Car1,0.562473963,1.30611289
Folr1,0.559769617,-3.24960456
Abcd2,0.557494362,0.296778294
Btg2,0.553972328,-2.006587752
Slc6a6,0.549228347,3.194772373
Nit1,0.548172581,2.957456142
5730589K01Rik,0.544147488,0.634228259
Fez1,0.543531411,-5.679121898
Anxa6,0.542950212,-3.835296788
Pskh1,0.538609177,-3.137820359
Prkci,0.532948875,2.716325314
Il2rb,0.526240622,-0.817347839
Sdf2,0.525709485,1.558277831
Pnoc,0.522952743,-1.274658694
Pkp1,0.521611491,0.651953716
BC023882,0.520961469,1.813182808
Cox6a1,0.518324202,5.216319432
Sqstm1,0.518167834,2.662441905
Wnt2b,0.518152221,0.216431997
Wnt11,0.515440149,-2.058784886
Sec24b,0.507693152,0.461264974
Acaa2,0.507367238,-2.634555482
1810013C15Rik,0.504504713,-0.282115832
Ech1,0.503835334,0.464050177
Polr2l,0.503715009,-0.740565469
Immt,0.503089533,1.118671162
Nr1i2,0.501991747,0.000551994
Veph1,0.50194325,-1.416458378
Nme4,0.497877591,6.141192259
Wee1,0.494141131,1.068471886
4930566A11Rik,0.493998969,2.378938285
Asgr1,0.493748468,-0.73803574
Ell,0.489627128,-0.474236944
Mad2l1,0.489496945,5.476677276
Lsm7,0.488968811,-4.858888549
Fgf8,0.488724528,-2.336996456
Frag1,0.487654216,-1.185213727
Slc25a11,0.487534404,-0.637520602
Nr1h2,0.486570026,-2.979496385
Rnf8,0.485296991,1.142696248
